Typ;Name;Artikel_Nr;Beschreibung;Einheit;EK_Preis;VK_Preis_1;VK_Preis_2;VK_Preis_3;Subunternehmer
Leistung;Dreh-Kipp Terrassenelement einflügelig;;Dreh-Kipp Terrassenelement einflügelig  Dreh-Kipp bis 2100x1000 mm wie folgt  auf RC2 umbauen: Raum: Ebene: Beschläge  ermitteln und Bestellung. Elementflügel  fachgerecht demontieren. Elementgriff,  umlaufende Falzbandgetriebe und alle  ergänzende, zugehörige Rahmenbauteile  demontieren. Rahmenfalz reinigen und  für den Einbau von neuen Einbruchschutz  Beschlägen wie Flügelfalzbänder mit  Pilzkopfverschluss vorbereiten,  anschließend zuschneiden und Montage  von Eckumlenkung, Ecklager und allen  Zuhalterungen, Getriebe und  Scherengetriebe. Alles einstellen und  auf Gängigkeit überprüfen.;Stk;927,0;1158,75;1390,5;1854,0;Nein
Leistung;Belastete Alteisen fachgerecht entsorgen;;Belastete Alteisen fachgerecht entsorgen;Stk;34,3;42,88;51,45;60,03;Nein
Leistung;PSK Anfertigung von 1 x Wetterschenkel;;Anfertigung eines PSK Wetterschenkel  Metall für PSK-Element auf Maß Um Ihr  PSK-Element nachträglich den  Wetterbedingungen anzupassen haben wir  einen Wetterschenkel entwickelt, der in  der Lage sein sollte Ihr PSK-Element  zusätzlich abzudichten. Da wir keine  Forschungsabteilung etc. betreiben  können wir keine gesetzliche Garantie  übernehmen, in der Vergangenheit hat er  aber gezeigt, dass er funktionieren  kann. Ich persönlich bin sehr  zuversichtlich.;m;80,0;120,0;140,0;160,0;Nein
Leistung;Reparatur Terrassentür mit Stulp;;Reparatur TeilumbauTerrassentür mit  Stulp Tischlermeister/Tischlergeselle  der Klasse 3 für Reparaturarbeiten.  Berechnet wird: Einsatzfahrzeug  aufgaben spezifisch packen. -  Anfahrtszeit zum Einsatzort.  Einrüstzeit - Schadenanalyse & Aufmaß  Reparaturzeit vor Ort oder/und -  Sicherung des Elements wenn nötig weil  Reparatur nicht komplett möglich ist.  Materialbeschaffung wenn Notwendig -  Werkzeug Rückbau und in das  Lieferfahrzeug verbringen -  Abnahmeprotokoll erstellen und  unterschreiben lassen.;STK;80,0;120,0;0,0;0,0;Nein
Leistung;Tischlergeselle Stufe 2;;•Tischlergeselle Stufe 2•  Lohnarbeiten für Notwendige  Arbeiten die ausgeführt werden müssen  und per Zeitaufwand abgerechnet  werden.;STD.;50,0;67,5;73,75;81,0;Nein
Leistung;GUS 600/1000F: Fensterwartung;;600x1000mm (GUS) Fenster-Elementflügel  wie folgt fachgerecht warten:   Elementflügel auf Gängigkeit prüfen  GUS 600/1000F: Fensterwartung bis  600x1000mm Elementbeschläge und Getriebe säubern  Mit Kriech- und Reinigung-Wartungsspray  behandeln Elementflügel auf Zugluft  prüfen und einstellen Elementgriff  nachstellen. Abrechnung per Stück/  Flügelelement;Stk;39,73;79,46;119,19;198,65;Nein
Leistung;Tischlergeselle Stufe 1;;•Tischlergeselle Stufe 5•  Lohnarbeiten für Notwendige  Arbeiten die ausgeführt werden müssen  und per Zeitaufwand abgerechnet  werden.;STD.;40,0;55,0;62,32;68,72;Nein
Leistung;HS-Element Holz BxD 1,5/45mm rep.;Hs-Türdicke 45;Hebeschiebeelement fachgerecht Umbauen/  reparieren wie folgt: -  Hebeschiebeflügel fachgerecht  demontieren und vertragen, Flügelgriff,  Falzbandgetriebe und Schiebeschlitten/ Laufwagen der Marke GU/ Roto und  zugehörige Rahmenbauteile demontieren -  Rahmenfalz für Falzbandgetriebe  reinigen und für den Einbau von neuen  Getriebeschiene, und Schiebeschlitten/ Laufwagen vorbereiten - Anschließend  zuschneiden und Montage von neuem  Hebeschiebeelementbeschlag -  Hebeschiebeflügel wieder fachgerecht  montieren, Flügelgriff montieren -  Alles einstellen und auf Gängigkeit  überprüfen. Alles in fix und fertiger  Arbeit;Stk;1600,0;1840,0;2000,0;2240,0;Nein
Leistung;HS-Element Kunstoff BxD 1,5/45mm rep.;Hs-Türdicke 45;Hebeschiebeelement fachgerecht Umbauen/  reparieren wie folgt: -  Hebeschiebeflügel fachgerecht  demontieren und vertragen, Flügelgriff,  Falzbandgetriebe und Schiebeschlitten/ Laufwagen der Marke GU/ Roto und  zugehörige Rahmenbauteile demontieren -  Rahmenfalz für Falzbandgetriebe  reinigen und für den Einbau von neuen  Getriebeschiene, und Schiebeschlitten/ Laufwagen vorbereiten - Anschließend  zuschneiden und Montage von neuem  Hebeschiebeelementbeschlag -  Hebeschiebeflügel wieder fachgerecht  montieren, Flügelgriff montieren -  Alles einstellen und auf Gängigkeit  überprüfen. Alles in fix und fertiger  Arbeit;Stk;1800,0;2070,0;2250,0;2520,0;Nein
Leistung;HS-Element Kunstoff BxD 1,8/45mm rep.;;Hebeschiebeelement fachgerecht Umbauen/  reparieren wie folgt: -  Hebeschiebeflügel fachgerecht  demontieren und vertragen, Flügelgriff,  Falzbandgetriebe und Schiebeschlitten/ Laufwagen der Marke GU/ Roto und  zugehörige Rahmenbauteile demontieren -  Rahmenfalz für Falzbandgetriebe  reinigen und für den Einbau von neuen  Getriebeschiene, und Schiebeschlitten/ Laufwagen vorbereiten - Anschließend  zuschneiden und Montage von neuem  Hebeschiebeelementbeschlag -  Hebeschiebeflügel wieder fachgerecht  montieren, Flügelgriff montieren -  Alles einstellen und auf Gängigkeit  überprüfen. Alles in fix und fertiger  Arbeit;Stk;2400,0;2760,0;3000,0;3360,0;Nein
Leistung;HS-Element Kunstoff BxD 2,5/45mm rep.;;Hebeschiebeelement fachgerecht Umbauen/  reparieren wie folgt: -  Hebeschiebeflügel fachgerecht  demontieren und vertragen, Flügelgriff,  Falzbandgetriebe und Schiebeschlitten/ Laufwagen der Marke GU/ Roto und  zugehörige Rahmenbauteile demontieren -  Rahmenfalz für Falzbandgetriebe  reinigen und für den Einbau von neuen  Getriebeschiene, und Schiebeschlitten/ Laufwagen vorbereiten - Anschließend  zuschneiden und Montage von neuem  Hebeschiebeelementbeschlag -  Hebeschiebeflügel wieder fachgerecht  montieren, Flügelgriff montieren -  Alles einstellen und auf Gängigkeit  überprüfen. Alles in fix und fertiger  Arbeit;Stk;2500,0;2875,0;3125,0;3500,0;Nein
